id,title,publisher,date,retrieved,reliability,url,doi,no_url,key_figure,caveat,method,note,used_in
stanford-canaries,Canaries in the Coal Mine? Six Facts about the Recent Employment Effects of Artificial Intelligence,Stanford Digital Economy Lab,2026-08-12,2026-08-13,1,https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/,,,"19% relative employment decline for workers aged 22-25 in AI-exposed occupations, November 2022 to June 2026: the two most exposed quintiles fell about 11% while the three least exposed grew about 10%, a divergence of 21 percentage points. Experienced workers show no comparable gap. Fact 4 is the one that matters most to an entrant: the divergence runs through reduced hiring rather than increased separations, and separations among young workers fell at least as fast in exposed occupations as in unexposed ones.","The age gap alone does not identify an AI effect, because young hiring is more cyclical than experienced hiring in any downturn. The cross-occupation comparison is what carries the weight. This version flags three limits of its own: the estimates attenuate when occupational education level is controlled for, some divergence between exposed and unexposed occupations predates ChatGPT, and the pattern is stronger in the ADP sample than in national survey benchmarks such as the CPS and the ACS. The authors' own summary is that the results ""may be influenced by factors other than generative AI"" and are ""consistent with the hypothesis"" that AI has begun to affect entry-level employment. That is weaker than the causal reading the coverage gives it, and it is the reading this book prints. See stanford-canaries-timing-2026 and eig-looking-for-the-ladder-2026 for the live dispute over timing.","ADP payroll microdata, 3.5 to 5 million US workers a month, data through June 2026","One paper, three published estimates, and they are versions rather than rival quantities. 13% in the August 2025 version, data to July 2025. 16% in the November 2025 version. 19% in the August 2026 version, data to June 2026. Every revision extended the window and raised the estimate, so the version has to be quoted with the number. The 19% is a levels comparison and is NOT the firm-controlled figure. The August 2025 abstract had claimed the decline held after controlling for firm-level shocks; under firm-time fixed effects this version reports only that changes are ""directionally consistent... though precision varies across samples"". The headline grew and the control behind it weakened in the same revision, which is why the book states both. Separately, ~20% was an ABSOLUTE fall, software developers aged 22-25 only, against their own late-2022 peak. It was Fact 1 of the November 2025 version. The August 2026 version restated its six facts and the developer-specific series is now an appendix chart with no figure in the text, so it is dated to the version it came from. Do not let any of this regress: an outside reader has twice tried to correct one of these numbers into another.",ch06; ch09; ch10
stanford-canaries-timing-2026,"Canaries, Interest Rates, and Timing: More on the Recent Drivers of Employment Changes for Young Workers",Stanford Digital Economy Lab,2026-02-09,2026-08-12,1,https://digitaleconomy.stanford.edu/news/canaries-interest-rates-and-timinga-more-on-recent-drivers-of-employment-changes-for-young-workers/,,,"Under firm-time fixed effects the employment decline in AI-exposed occupations becomes statistically significant only from 2024. Earlier declines are 'likely (at least partly) due to some combination of other factors, not just AI'. Separately, AI-exposed occupations were found to be LESS sensitive to interest rates than sectors such as construction, so rates do not explain the entry-level gap.",Cuts both ways and the book prints both directions. The interest-rate test strengthens the AI reading. The timing result weakens any account that starts at the release of ChatGPT in November 2022.,Follow-up analysis on the same ADP payroll panel,,ch06; ch09; ch10
eig-looking-for-the-ladder-2026,Looking for the Ladder: Is AI Impacting Entry-Level Jobs?,Economic Innovation Group,2026-01,2026-08-12,1,https://eig.org/wp-content/uploads/2026/01/TAWP-Iscenko-Millet.pdf,,,"Vacancies in the highest-AI-exposure occupations peaked in March and April 2022 and fell sharply through the rest of that year, more than six months before generative AI could plausibly have had an effect. On this reading the employment decline from late 2022 is the lagged consequence of a hiring freeze that had already begun.","The strongest published objection to the Canaries diagnosis, and the book states it rather than answering it. A think tank with a policy position, which is a reason to read the method rather than a reason to discount it. Postings are not hires, which is the same limit Chapter 6 puts on Indeed.","Job-postings panel, occupations ranked by AI exposure",,ch06; ch20
indeed-hiring-lab-2025-10,Software development postings tracker,Indeed Hiring Lab,2025-10-10,,2,,,"A continuously updated tracker rather than a dated report: the series is revised in place and no address identifies the October 2025 reading, checked 2026-08-20.",Down 36.4% vs Feb 1 2020 baseline; down 6.7% YoY,"Counts job postings, not jobs. A posting can be duplicated, left up after a role is filled, or never filled at all, and no board publishes what share of its listings end in a hire. The direction is evidence; the level is not.",,,ch06; ch09
wapman-nature-2022,Quantifying hierarchy and dynamics in US faculty hiring and retention,Nature 610,2022,2026-08-12,1,https://www.nature.com/articles/s41586-022-05222-x,10.1038/s41586-022-05222-x,,80% of US tenure-track faculty trained at 20.4% of universities; five schools trained ~13.8% of sitting faculty,"United States faculty only, and a snapshot of who currently holds posts rather than of who is hired now. It describes the hierarchy that exists, not the odds facing a particular applicant today.",,,ch27
cgs-phd-completion,Ph.D. Completion Project,Council of Graduate Schools,2007,2026-08-12,1,https://cgsnet.org/data-insights/access-and-inclusion/degree-completion/ph-d-completion-project,,,CS/Information Sciences 10-year completion 41.5% (lowest of any field); 25.4% attrition within two years,"2007 baseline covering 1990s cohorts. Dated, but the best CS-specific figure that exists. Say so in the text.",,,ch27
isc2-workforce-2025,ISC2 Cybersecurity Workforce Study 2025,ISC2,2025,,2,https://www.isc2.org/Insights/2025/12/ISC2-Publishes-2025-Cybersecurity-Workforce-Study,,,"Stopped publishing a global workforce gap estimate. 95% of teams report at least one skills gap; 59% call it critical or significant. 16,029 respondents.","ISC2 DID give a reason, and the book claimed otherwise until August 2026. The study says respondents in 2024 and 2025 prioritised critical skills over headcount, and that ISC2 therefore did not include a workforce gap estimate that year. Chapter 4 previously wrote that the organisation ""did not withdraw the number or explain its absence"", which was false and was caught by an outside reader checking the source. The chapter's conclusion was right and its evidence was not; the stated reason supports the reading rather than contradicting it.",,The absence of the number is the finding. See Ch 4.,ch04; ch20; ch25
isc2-workforce-2024,ISC2 Cybersecurity Workforce Study 2024,ISC2,2024-09-11,,2,https://www.isc2.org/Insights/2024/10/ISC2-2024-Cybersecurity-Workforce-Study,,,"4.8 million professionals needed, +19% YoY; workforce ~5.5M, +0.1% YoY","Published by a body that sells security certifications, so it has a direct interest in a large stated workforce gap. This is the 2024 edition and the figure was withdrawn in 2025; it is kept because the book uses it as a worked example of a claim to distrust rather than as evidence about the workforce.",,,ch04
signalfire-2026,State of Talent 2026,SignalFire,2026,,2,,,The firm publishes the report behind a contact form and states no method. There is no stable public document to link.,Engineering roles fell 11% vs 25% for tech overall; engineers were 55% of 2025 Tech-Major new hires,"A venture capital firm reporting on the labour market it invests in, with no stated method or sample. It agrees with two better-documented sources, which is the only reason it is cited. It carries none of Chapter 9's argument on its own, and the chapter now says so. Added after an outside review found this was the one grade-2 record behind a main argument with no caveat at all.","Not stated by the publisher. Drawn from hiring activity across the companies the firm tracks. No sample size, no population definition and no methodology note accompany the figures.",,ch09
reuters-cobol-2017,Banks scramble to fix old systems as IT 'cowboys' ride into sunset,Reuters,2017-04-10,,4,,,,"COBOL powers 70% of business transaction processing, 95% of ATM swipes, ~220 billion lines","Traces through Rocket Software back to a 1997 DataPro survey of 421 companies. Directional at best. This is a worked example in Ch 4, not a figure the book relies on.",,,ch04; ch25
10k-salesforce-ecosystem,"Salesforce Talent Ecosystem Report, 2025/26",10K,2025-10-29,,2,https://www.salesforceben.com/the-state-of-the-salesforce-job-market-in-2025-26-according-to-the-10k-report/,,,"ALL ROLES, globally: supply +27% year on year, demand +8%, saturation over 330%, meaning supply about 3.4 times demand. ADMINISTRATOR: supply +47%, the highest growth of any role; demand +14%; about 9% of listings are administrator-focused. TECHNICAL ARCHITECT: supply +4%, demand +27%, about 1% of the global talent pool. Solution architect demand +21%. DEVELOPER: demand -12%, the only role where demand fell; supply +20%.","Every figure here is a role-level count and the role matters. An outside review read the book's 27% as a mis-copy of the technical architect demand figure. It is not: 27% is genuine all-roles supply growth. The real defect was worse and subtler. The book ran an argument about ADMINISTRATORS on the ALL-ROLES pair, 27% against 8%, without saying so. The administrator-specific pair is 47% against 14%. Quote the population with the number or you are doing what Chapter 5 trap 2 describes. Also note that this record and a grade-4 'Salesforce community publication' record were the same underlying report filed twice under two publisher names. Merged August 2026. No duplicate rule caught it, because the publisher strings differed.","Ecosystem-wide supply and demand counts by role, with a stated method. Read through the Salesforce Ben write-up of the report, not from 10K directly.",,ch13; ch24; ch25; ch29; ch31
lemonio-rates-2026,Software developer rates by country,Lemon.io,2026,,3,,,"Rates are shown inside a live marketplace calculator rather than in a document, so any link would show a different number to a later reader.","Senior developer ~$63.70/hr US, ~$32.10/hr Nigeria, ~$34/hr Philippines",Known selection bias: only vetted contractors who chose this platform.,Verified contract rates on a vetted marketplace,,ch12; ch23; ch24; ch28
howdy-latam-payroll-2026,LATAM developer salary report,Howdy,2026,,3,,,"Payroll aggregates published as marketing collateral behind a form, not as a stable document.",Average developer salaries $53k-$63k/year; Argentina highest ~$63k mid-to-senior,"Published by a company that places LATAM developers with foreign employers, so it has an interest in the rates it reports. It is an average across a whole region and several countries, which hides more than it shows, and it describes contract placements rather than local employment.","Verified payroll, 12,500+ developers across 8 countries",,ch12; ch23; ch24; ch28
ravio-entry-level-2026,"Tech job market report, entry-level hiring",Ravio,2026,,3,,,Benchmarking output published to customers and summarised in press coverage. No public document.,"Entry-level hiring rates in European technology down about 73% over a year. New graduates now under 6% of startup hires, more than 30% below pre-pandemic levels. The graduate share at large technology companies more than halved since 2022.","Built from the payroll data of the companies that use the firm's benchmarking product, so the sample is European, startup-weighted and self-selected. Better than a survey and not a census.",,,ch09
eu-junior-postings-2026,Junior technology postings across EU economies and the UK,Recruitment and careers commentary,2026,,5,,,,"A roughly 35% fall in junior technology positions across major EU economies is widely quoted, with UK graduate technology roles reported down 46% from 2024 and a further 53% projected for 2026.","Recruiters describing the market they sell into, and the 2026 figure is a projection rather than a measurement. Quoted here for direction only, and the book says so in the text.",,,ch09
india-services-hiring-2026,"Quarterly headcount and campus hiring, large Indian IT services firms","Company quarterly results, FY26 and FY27",2026,2026-08-10,1,,,Several companies' quarterly results read together. There is no single document to link to.,"One firm added 9,279 net staff in April to June 2026, reaching a headcount of 593,798, and onboarded roughly 14,000 campus graduates in the quarter. Another added over 8,000 in a quarter, having hired more than 12,000 graduates between April and September of the prior financial year, with a stated plan of 15,000 to 20,000 for the year.","Company-reported figures about themselves, which makes them accurate and selective. Net additions hide attrition and offshore mix. The same firms were reducing headcount a year earlier, so this is a turn rather than a trend.",,,ch09
ats-applications-per-opening-2026,"Applications per opening, applicant tracking system records","Ashby, as reported",2026,,4,,,The vendor's figures reached this book through press coverage rather than a published report. Recorded as 'as reported' for that reason.,"Across more than 100 million applications and 200,000 jobs, the average opening now draws over 300 candidates, roughly triple the 2021 level.","Counts applications processed by one system, so the population is employers who buy that product, weighted towards technology companies. It counts applications rather than applicants, and one person may send many. The denominator is not settled: the vendor's own published headline is applications per HIRE, and per opening is a smaller number. This book has not read the primary and grades the figure accordingly.",,,ch11
applications-roundup-claims-2026,Commonly circulated applications-per-opening figures,Statistics round-up and careers content sites,2026,,5,,,,"242 and 250 applications per opening are both widely quoted, alongside claims that 77% of hiring teams see AI-assisted applications, 64% of recruiters report more look-alike applications, and 83% of companies plan to use AI to review applications in 2026.","Aggregated by content sites without stated methods, and frequently circular, with each site citing another. Cited in Ch 9 only to show what the weaker figures look like beside a measured one.",,,ch11
interview-practice-2026,Technical interview practice under AI assistance,"Interview platforms, engineering publications and hiring commentary",2026,,4,,,,"Reported shifts: take-home tests losing credibility, live sessions and in-person final rounds returning, take-homes increasingly followed by a defend-your-decisions conversation, and a new assisted round in which candidates are handed a tool deliberately.","Mostly written by companies selling interview tooling or coaching, which is grade 5 in motive. Graded 4 because the same pattern appears independently across unrelated publishers and matches what candidates report. Ch 9 states plainly that it is describing patterns, not measures.",,,ch11
training-provider-enforcement-vacuum,"No published enforcement decision against a computing training provider, across six countries","Searched at NAVTTC, BTEB, NSDA, TESDA, Kemnaker, MOLISA and the Egyptian Ministry of Labour",2026-08-07,2026-08-07,1,,,"The finding is the absence of a document. It is reproduced by searching each regulator's own domain, which pass 14 and pass 15 name individually.","In none of Pakistan, Bangladesh, Egypt, the Philippines, Vietnam or Indonesia could a published, named enforcement decision be located against a computing or IT training provider for false job-placement claims. Every one of the six names a regulator with the legal power to act, and several publish the power explicitly: the Philippine TVET authority's own rules state that for fraud or deceit in unauthorised advertisements the certificate of registration shall be revoked after due process, and an Indonesian training provider operating without a licence faces sanctions up to forced closure. What none of them publishes is a searchable register of decisions naming a respondent, a date and an outcome.","This is a negative finding from public sources. It means no published, named decision was locatable after searching in the national language. It does NOT mean no enforcement has ever occurred, which is a materially weaker claim and the book must not overstate it. The absence is about the published record, and the published record is the only thing a parent checking a provider can actually consult.","Direct search of each named regulator's own publications, in the national language as well as English: Urdu for Pakistan, Bangla for Bangladesh, Arabic for Egypt, Filipino for the Philippines, Vietnamese for Vietnam and Bahasa Indonesia for Indonesia.",,ch19
pk-computing-admission-rules,Deficient mathematics requirement for Pre-Medical entrants to computing programmes,"National University of Sciences and Technology, and Pakistan Engineering Council",2024-07-11,2026-08-07,1,,,"Read from the university's admissions pages and the regulator's numbered regulations during pass 15. The regulation numbers are given in full so the documents can be requested directly, which is more durable than an admissions URL that moves every intake.","Candidates from the HSSC Pre-Medical group entering computing programmes without an additional mathematics exam must clear deficient mathematics courses of 6 credit hours within one year. The condensed eight-week mathematics course was formalised by Pakistan Engineering Council regulation PEC/EAD/49-GB/004/2024 dated 11 July 2024, and must be passed at 60% or better before merit is calculated. Under PEC regulation PEC/EAD/46-VCCM/Regulations/2023 of 30 March 2023, students holding Intermediate in Computer Science are eligible for all engineering programmes but must clear Chemistry as a remedial subject. A second university requires 60% in FSc Pre-Engineering or ICS.","One university's rules and one regulator's, not a national rule binding every institution. Admission rules change each intake. A student must read the current notification for the specific programme.","The admitting university's own published admission rules, plus the engineering regulator's numbered regulation.",,ch14
bd-buet-admission-subjects,Higher Mathematics requirement for engineering and computing admission,Bangladesh University of Engineering and Technology,2026,2026-08-07,1,,,"Read from the university's own admission circular during pass 15. The circular is reissued each intake at a new address, so a link would point at a superseded document within a year.","Applicants must have passed HSC in the Science group with top grades in Physics, Chemistry and Higher Mathematics, set at GPA 5.00 in each for the 2025-26 intake, with a 4.00 in any one of the three disqualifying. SSC must also be Science group at a minimum GPA of 4.00. A student who did not take Higher Mathematics at HSC is excluded, and no remedial pathway exists. The general university cluster requires Science with Mathematics and Physics. Private universities accept lower grades and still require Mathematics and Physics at HSC.",The named grade thresholds are for one intake and move between years. The structural finding — that Higher Mathematics is required with no remedial route at the elite tier — is the durable part.,The admitting university's own published admission circular.,,ch14
eg-thanaweya-amma-computing-admission,Division eligibility for public faculties of Computers and Information,"Egyptian Ministry of Higher Education, and the Supreme Council of Universities coordination office",2025,2026-08-07,1,,,Read from ministry coordination reporting in Arabic during pass 15. The placement office publishes cut-offs per cycle rather than as a standing document.,"Thanaweya Amma students choose between the science-mathematics, science-biology and literary divisions. Public university faculties of Computers and Information admit students from both science divisions and exclude the literary division. Some private and national universities admit literary students to computing programmes. Minimum-mark indicators for 2025 ran at roughly 83 to 87% for the science-mathematics division.",Minimum-mark figures circulating before results are indicators and are not official until the coordination office publishes final cut-offs. The exclusion of the literary division is the structural finding and does not depend on the marks.,"Ministry coordination reporting on the centralised Tansik placement system, searched in Arabic.",,ch14
ph-shs-strand-and-college-entry,"Senior High School strand entry, and college eligibility regardless of strand","Department of Education, and Commission on Higher Education (Philippines)",2017,2026-08-07,1,,,Read from the two numbered issuances during pass 14. Both are cited by number so they can be retrieved from the issuing body directly.,"DepEd Order No. 55, series of 2016, requires a final grade of 85 or above in both Science and Mathematics in Grade 10 for entry to the STEM strand, plus a percentile rank of 86 or above in the STEM subtest of the career assessment examination. CHED Memorandum Order No. 105, series of 2017, states that all Senior High School graduates are entitled to enrol in college regardless of the track or strand taken, provided they fulfil the entrance standards of the chosen university. Competitive computing programmes set their own mathematics-heavy entrance standards. The strand structure is being reduced from four tracks to two.",The gap between the regulator's stated openness and the universities' entrance standards is documented rather than measured: no published study counts how many non-STEM graduates enter computing degrees. The strand reform means the structure should be re-checked each cycle.,"Two numbered government issuances, read directly.",,ch14
id-kurikulum-merdeka-stream-abolition,"Abolition of the science, social and language streams, and university subject expectations","Indonesian Ministry of Education, and Institut Teknologi Bandung",2024,2026-08-07,1,,,"Read from the numbered ministry regulation and the institute's admission guidance during pass 14, in Bahasa Indonesia.","Under Kurikulum Merdeka the science, social and language streams were abolished from the 2024-25 school year, per Permendikbudristek No. 12 of 2024, so students in grades 11 and 12 choose subject clusters by interest. The stated aim was to stop non-science students being disadvantaged in national university selection. The national test route now assesses general reasoning with no subject-specific paper. Universities continue to set their own independent selection rules; the leading technology institute dropped the stream requirement in 2022 and instead publishes subject guidance advising applicants to hold the foundational subjects the programme expects, which for informatics means advanced mathematics and physics.","That students who drop advanced mathematics are competitively disadvantaged is an inference from the universities' published guidance, not a measured outcome. The reform is recent enough that no cohort has completed the cycle.","The ministry's numbered regulation and the admitting institute's own published guidance, searched in Bahasa Indonesia.",,ch14
vn-thpt-subject-combinations,Subject combinations admitting to information technology programmes,"Vietnamese Ministry of Education and Training, and admitting universities",2026,2026-08-07,1,,,"Read from university admission schemes during pass 14, in Vietnamese. Each university publishes its own scheme annually at its own address.","Information technology programmes admit principally through combination A00, which is Mathematics, Physics and Chemistry, and A01, which is Mathematics, Physics and English. Several also accept D01, Mathematics, Literature and English, D07, and newer combinations built on Mathematics, Informatics and English. Mathematics appears in every combination admitting to computing. The leading public programmes prioritise A00 and A01, and the binding constraint is the benchmark score each university sets, which has run at roughly 23 to 27.","Benchmark scores are set per university per year and move with the applicant pool. Combination lists are revised between intakes. Vietnam does not stream students rigidly, so this is a preparation decision rather than an irreversible school placement.","University admission schemes and ministry guidance on the national examination, searched in Vietnamese.",,ch14
india-jee-subject-eligibility,JEE Main subject eligibility for the engineering paper,"Secondary education and coaching sites, aggregated",2026,,5,,,,The engineering entrance paper requires Mathematics as a school subject. A student in the Physics-Chemistry-Biology stream without Mathematics cannot sit it. Taking Mathematics without Biology closes the medical entrance route in the other direction.,"The primary source is the exam body's own eligibility notification, which it republishes every year. This edition did not read it. The structural fact — Mathematics is required — is stable and widely reported, but the details around accepted substitute subjects and qualifying marks change, and a reader must check the current notification rather than this book.",,,ch14
india-science-stream-volume,"Class 12 science stream candidate volume, CBSE",Secondary reporting of board data,2026,,5,,,,Roughly 1.6 million students a year sit the Class 12 science stream in one of India's several school boards.,"Reported through a secondary site rather than the board's own statistics. Used in the book only to establish scale, never as a precise figure, and it covers one board out of many.",,,ch14
germany-dual-ausbildung,The German dual vocational training system (Ausbildung),"German federal vocational training framework, as commonly described",2026,,5,,,,A paid apprenticeship of roughly three years combining employment with vocational school. The information-technology route (Fachinformatiker) leads to qualified IT employment with no university degree.,The primary sources are the federal training regulations and the chamber of commerce that certifies each route. This edition did not read them. The existence and shape of the route are not in doubt; the current occupational profiles and their durations should be checked directly.,,,ch14; ch15
college-board-ap-cs,AP Computer Science A and AP Computer Science Principles,College Board,2026,,5,,,,Two separate courses. Computer Science A is a programming course assessed in Java. Computer Science Principles is broader and less code-heavy.,Published by the body that sells the exams. The course descriptions are a verifiable fact about the product; any claim about what either is worth in admissions is not.,,,ch14
us-transfer-and-early-credit,"Community college transfer and school-level university credit, United States","Institutional admissions pages, as commonly described",2026,,5,,,,"Two structural routes reduce the cost of the same degree. A student can earn university credit while still at school, and a student can complete two years at a low-cost community college and transfer into the third year of a degree. The awarding institution at the end is the university.","The chapter states no saving and no transfer rate, because both depend entirely on the pair of institutions involved. Credit transfers only where a written articulation agreement covers that course in that year. The primary sources are those agreements themselves, held by the two institutions. This edition did not read any of them, and tells the reader to request theirs in writing instead.",,,ch15
graduate-earnings-by-course,Government-published graduate earnings matched to tax records,Various national governments,2026,2026-08-12,1,,,One record covering the datasets of several governments. Appendix G names each publisher and its filing route separately.,"Where it exists, this is the strongest evidence available about the outcome of a degree: administrative data covering everyone who finished, with no survey response bias.","This edition names the source type but has not compiled which countries publish it or where. It also measures who was admitted as much as what was taught, and any figure describes people who started many years earlier.","Several governments match higher-education records against tax and employment records, then publish median earnings by course and institution at fixed intervals after graduation.",,ch07; ch14; ch15
